Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.6826693683862686,0.6957879722118377,48.333333333333336,0.4832589285714286,0.4833333333333334
2,0.6142528966069222,0.6910465866327286,55.833333333333336,0.5584795321637427,0.5583333333333333
3,0.6377489939332008,0.6235736429691314,71.66666666666667,0.7437499999999999,0.7166666666666667
4,0.47165840566158296,0.6580116957426071,65.0,0.6846785225718194,0.65
5,0.4333011135458946,0.682960319519043,53.333333333333336,0.5358851674641147,0.5333333333333333
6,0.36016065180301665,0.665001294016838,68.33333333333333,0.6938895417156287,0.6833333333333333
7,0.2982715733349323,0.5951762929558754,72.5,0.7281047592227542,0.725
8,0.26260425671935084,0.637798048555851,65.83333333333333,0.6638401839609083,0.6583333333333333
9,0.2056233398616314,0.6009199053049088,70.0,0.7008928571428572,0.7
10,0.25812429217621685,0.6982365846633911,57.5,0.576034919740918,0.575
11,0.1773121777921915,0.5957900509238243,65.83333333333333,0.6759802408150664,0.6583333333333333
12,0.18773615676909686,0.6181222081184388,70.0,0.7002224694104561,0.7
13,0.16831835093908012,0.3992741383612156,84.16666666666667,0.8463813010419601,0.8416666666666667
14,0.15510488296858965,0.5737426832318306,73.33333333333333,0.7356902356902357,0.7333333333333334
15,0.1879642901942134,0.7217671401798725,70.83333333333333,0.744220123738196,0.7083333333333334
16,0.1620714921504259,0.5167655102908612,76.66666666666667,0.782021151586369,0.7666666666666666
17,0.267011412861757,0.7406511157751083,60.0,0.600111234705228,0.6000000000000001
18,0.14761441284790636,0.5948144868016243,80.0,0.803030303030303,0.8
19,0.1324010517448187,0.6040295466780663,65.0,0.65,0.65
20,0.23267746274359524,0.4937582887709141,75.83333333333333,0.7601398601398601,0.7583333333333333
21,0.1565690257586539,0.679058100283146,63.333333333333336,0.6339285714285714,0.6333333333333333
22,0.16226997685153038,0.5605740219354629,78.33333333333333,0.7951388888888888,0.7833333333333333
23,0.09306635056855157,0.7339445888996124,62.5,0.6389317690645261,0.625
