Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.6740087300539017,0.6784660786390304,78.33333333333333,0.7845982142857143,0.7833333333333333
2,0.5945531606674195,0.6956204533576965,50.833333333333336,0.5083916083916084,0.5083333333333333
3,0.4623052656650543,0.7001844584941864,51.666666666666664,0.51875,0.5166666666666666
4,0.2921332512050867,0.7123610317707062,46.666666666666664,0.4660633484162896,0.4666666666666667
5,0.20872211642563343,0.7077414095401764,43.333333333333336,0.43265993265993263,0.43333333333333335
6,0.19390028417110444,0.6720976561307908,60.833333333333336,0.6083634342873021,0.6083333333333334
7,0.1745504193007946,0.6695069640874862,66.66666666666667,0.6674107142857143,0.6666666666666666
8,0.1807297956198454,0.7121936976909637,55.833333333333336,0.5622222222222222,0.5583333333333333
9,0.17764159748330713,0.6831029176712036,52.5,0.5251748251748252,0.525
10,0.1580099995015189,0.6600584656000137,65.0,0.6542857142857144,0.6499999999999999
11,0.08440111421514303,0.670097540318966,64.16666666666667,0.6465938488071284,0.6416666666666666
12,0.11758334045298398,0.6903150856494904,62.5,0.6293475136533486,0.625
13,0.10647667967714369,0.6264399334788322,65.0,0.6527149321266968,0.65
14,0.07993336697109044,0.6342897355556488,67.5,0.6750486246179495,0.675
15,0.05151707983459346,0.6459725677967072,65.83333333333333,0.6594405594405595,0.6583333333333333
16,0.0824517608853057,0.5932528510689735,70.83333333333333,0.7185951617604197,0.7083333333333333
17,0.06972539753187448,0.5879628077149391,73.33333333333333,0.7335928809788654,0.7333333333333334
18,0.0719795744982548,0.717123395204544,55.0,0.5509049773755657,0.55
19,0.13312293901108205,0.6793217226862908,56.666666666666664,0.5685714285714285,0.5666666666666667
20,0.0846334237139672,0.6303568363189698,60.833333333333336,0.6098282174035483,0.6083333333333334
21,0.09156197882257402,0.7524177402257919,59.166666666666664,0.5937766410912191,0.5916666666666667
22,0.10857966758776456,0.6679018527269364,62.5,0.6250347318699638,0.625
23,0.03381726624211297,0.6370465829968452,72.5,0.725062517365935,0.725
24,0.06716999792843126,0.5995400965213775,65.0,0.6527149321266968,0.65
